# USDA NASS Quick Stats, North Dakota, state level, weeks ending on or after 08-25.
# DS = FIELDWORK - DAYS SUITABLE, MEASURED IN DAYS / WEEK
# SOY/CORN = SOYBEANS/CORN - PROGRESS, MEASURED IN PCT HARVESTED
# Retrieved 2026-09-19 from qs.crops_20260919.txt.gz. 17 U.S.C. 105, no copyright.
year	week_ending	series	value
2023	2023-10-08	SOY	41
2023	2023-10-15	CORN	27
2023	2023-10-15	DS	5.9
2023	2023-10-15	SOY	66
2023	2023-10-22	CORN	45
2023	2023-10-22	DS	6.1
2023	2023-10-22	SOY	85
2023	2023-10-29	CORN	57
2023	2023-10-29	DS	3.3
2023	2023-10-29	SOY	95
2023	2023-11-05	CORN	67
2023	2023-11-05	DS	3.2
2023	2023-11-05	SOY	95
2023	2023-11-12	CORN	76
2023	2023-11-12	DS	4.5
2023	2023-11-12	SOY	97
2023	2023-11-19	CORN	87
2023	2023-11-19	DS	5.9
2023	2023-11-26	CORN	93
2023	2023-11-26	DS	5.8
2023	2023-12-31	CORN	99
2024	2024-08-25	DS	5.3
2024	2024-09-01	DS	5.4
2024	2024-09-08	CORN	0
2024	2024-09-08	DS	6.4
2024	2024-09-15	CORN	0
2024	2024-09-15	DS	5.7
2024	2024-09-15	SOY	1
2024	2024-09-22	CORN	0
2024	2024-09-22	DS	5.3
2024	2024-09-22	SOY	8
2024	2024-09-29	CORN	1
2024	2024-09-29	DS	6.6
2024	2024-09-29	SOY	23
2024	2024-10-06	CORN	8
2024	2024-10-06	DS	6.4
2024	2024-10-06	SOY	52
2024	2024-10-13	CORN	19
2024	2024-10-13	DS	6.6
2024	2024-10-13	SOY	76
2024	2024-10-20	CORN	47
2024	2024-10-20	DS	6.3
2024	2024-10-20	SOY	89
2024	2024-10-27	CORN	71
2024	2024-10-27	DS	6.4
2024	2024-10-27	SOY	95
2024	2024-11-03	CORN	85
2024	2024-11-03	DS	6
2024	2024-11-03	SOY	98
2024	2024-11-10	CORN	90
2024	2024-11-10	DS	5.3
2024	2024-11-10	SOY	100
2024	2024-11-17	CORN	95
2024	2024-11-17	DS	5.9
2024	2024-11-24	DS	3.6
2025	2025-08-31	DS	6.5
2025	2025-09-07	CORN	0
2025	2025-09-07	DS	5.7
2025	2025-09-07	SOY	0
2025	2025-09-14	CORN	0
2025	2025-09-14	DS	5.1
2025	2025-09-14	SOY	0
2025	2025-09-21	CORN	0
2025	2025-09-21	DS	3.3
2025	2025-09-21	SOY	1
2025	2025-09-28	CORN	0
2025	2025-09-28	DS	6.5
2025	2025-09-28	SOY	8
2025	2025-11-16	CORN	80
2025	2025-11-16	DS	6.1
2025	2025-11-16	SOY	97
2025	2025-11-23	CORN	89
2025	2025-11-23	DS	6.2
2025	2025-11-23	SOY	100
2026	2026-08-30	DS	6.1
2026	2026-09-06	CORN	0
2026	2026-09-06	DS	5.7
2026	2026-09-13	CORN	1
2026	2026-09-13	DS	5.7
2026	2026-09-13	SOY	3
